"max_temperature" "city_name" "mean"
"488" 20.6 "Brisbane" 5.6
"489" 20.6 "Canberra" 1.85714285714286
"490" 20.6 "Melbourne" 4.84193548387097
"491" 20.6 "Perth" 7
"492" 20.6 "Sydney" 6.82769230769231
"493" 20.7 "Brisbane" 4.92241379310345
"494" 20.7 "Canberra" 2.41538461538462
"495" 20.7 "Melbourne" 2.41071428571429
"496" 20.7 "Perth" 7.01206896551724
"497" 20.7 "Sydney" 8.995
"498" 20.8 "Brisbane" 3.12115384615385
"499" 20.8 "Canberra" 0.216666666666667
"500" 20.8 "Melbourne" 6.00606060606061
"501" 20.8 "Perth" 4.3188679245283
"502" 20.8 "Sydney" 5.14606741573034
"503" 20.9 "Brisbane" 6.39166666666667
"504" 20.9 "Canberra" 1.50909090909091
"505" 20.9 "Melbourne" 4.45909090909091
"506" 20.9 "Perth" 5.38965517241379
"507" 20.9 "Sydney" 8.69718309859155
"508" 21 "Brisbane" 3.59574468085106
"509" 21 "Canberra" 4.15
"510" 21 "Melbourne" 6.015
"511" 21 "Perth" 6.29807692307692
"512" 21 "Sydney" 7.4358024691358
"513" 21.1 "Brisbane" 3.65
"514" 21.1 "Canberra" 3.61818181818182
"515" 21.1 "Melbourne" 5.94285714285714
"516" 21.1 "Perth" 5.12666666666667
"517" 21.1 "Sydney" 8.75696202531646
"518" 21.2 "Brisbane" 5.31818181818182
"519" 21.2 "Canberra" 7.48333333333333
"520" 21.2 "Melbourne" 5.81739130434783
"521" 21.2 "Perth" 3.23913043478261
"522" 21.2 "Sydney" 8.16770833333333
"523" 21.3 "Brisbane" 6.43783783783784
"524" 21.3 "Canberra" 0.52
"525" 21.3 "Melbourne" 1.78125
"526" 21.3 "Perth" 6.4531914893617
"527" 21.3 "Sydney" 7.77105263157895
"528" 21.4 "Brisbane" 6.57121212121212
"529" 21.4 "Canberra" 0.08
"530" 21.4 "Melbourne" 5.19166666666667
"531" 21.4 "Perth" 3.5725
"532" 21.4 "Sydney" 6.84931506849315
"533" 21.5 "Brisbane" 2.37121212121212
"534" 21.5 "Canberra" 6.06666666666667
"535" 21.5 "Melbourne" 4.65217391304348
"536" 21.5 "Perth" 7.02
"537" 21.5 "Sydney" 6.69298245614035
"538" 21.6 "Brisbane" 4.30923076923077
"539" 21.6 "Canberra" 1.88
"540" 21.6 "Melbourne" 9.4375
"541" 21.6 "Perth" 5.27380952380952
"542" 21.6 "Sydney" 6.70909090909091
"543" 21.7 "Brisbane" 5.96338028169014
"544" 21.7 "Canberra" 7.58
"545" 21.7 "Melbourne" 4.51363636363636
"546" 21.7 "Perth" 3.23333333333333
"547" 21.7 "Sydney" 9.11639344262295
"548" 21.8 "Brisbane" 1.509375
"549" 21.8 "Canberra" 11.0222222222222
"550" 21.8 "Melbourne" 5.08888888888889
"551" 21.8 "Perth" 4.675
"552" 21.8 "Sydney" 4.68333333333333
"553" 21.9 "Brisbane" 5.37536231884058
"554" 21.9 "Canberra" 1.12
"555" 21.9 "Melbourne" 5.13076923076923
"556" 21.9 "Perth" 3.76666666666667
"557" 21.9 "Sydney" 5.87384615384615
"558" 22 "Brisbane" 6.40754716981132
"559" 22 "Canberra" 2.25
"560" 22 "Melbourne" 4.98846153846154
"561" 22 "Perth" 5.18974358974359
"562" 22 "Sydney" 6.20533333333333
"563" 22.1 "Brisbane" 6.02033898305085
"564" 22.1 "Canberra" 1.43333333333333
"565" 22.1 "Melbourne" 6.66896551724138
"566" 22.1 "Perth" 2.59393939393939
"567" 22.1 "Sydney" 6.55526315789474
"568" 22.2 "Brisbane" 6.65737704918033
"569" 22.2 "Canberra" 0.676923076923077
"570" 22.2 "Melbourne" 4.3
"571" 22.2 "Perth" 3.27045454545455
"572" 22.2 "Sydney" 6.285
"573" 22.3 "Brisbane" 3.50909090909091
"574" 22.3 "Canberra" 5.93333333333333
"575" 22.3 "Melbourne" 3.81875
"576" 22.3 "Perth" 6.34285714285714
"577" 22.3 "Sydney" 7.01686746987952
"578" 22.4 "Brisbane" 4.3640625
"579" 22.4 "Canberra" 8.14545454545454
"580" 22.4 "Melbourne" 5.47222222222222
"581" 22.4 "Perth" 4.34878048780488
"582" 22.4 "Sydney" 8.472
"583" 22.5 "Brisbane" 6.26190476190476
"584" 22.5 "Canberra" 6.71578947368421
"585" 22.5 "Melbourne" 6.66666666666667
"586" 22.5 "Perth" 10.4727272727273
"587" 22.5 "Sydney" 6.37848101265823
"588" 22.6 "Brisbane" 4.87088607594937
"589" 22.6 "Canberra" 2.90666666666667
"590" 22.6 "Melbourne" 3.34285714285714
"591" 22.6 "Perth" 5.29722222222222
"592" 22.6 "Sydney" 10.0826666666667
"593" 22.7 "Brisbane" 7.63287671232877
"594" 22.7 "Canberra" 2.21428571428571
"595" 22.7 "Melbourne" 5.32631578947368
"596" 22.7 "Perth" 2.9258064516129
"597" 22.7 "Sydney" 7.67912087912088
"598" 22.8 "Brisbane" 6.29861111111111
"599" 22.8 "Canberra" 2.2
"600" 22.8 "Melbourne" 6.83684210526316
"601" 22.8 "Perth" 2.26
"602" 22.8 "Sydney" 6.96941176470588
"603" 22.9 "Brisbane" 3.86578947368421
"604" 22.9 "Canberra" 0.418181818181818
"605" 22.9 "Melbourne" 4.08
"606" 22.9 "Perth" 5.28378378378378
"607" 22.9 "Sydney" 7.59789473684211
"608" 23 "Brisbane" 4.6695652173913
"609" 23 "Canberra" 13.3090909090909
"610" 23 "Melbourne" 1.46666666666667
"611" 23 "Perth" 4.41333333333333
"612" 23 "Sydney" 6.43392857142857
"613" 23.1 "Brisbane" 6.65394736842105
"614" 23.1 "Canberra" 1.48888888888889
"615" 23.1 "Melbourne" 0.971428571428572
"616" 23.1 "Perth" 2.49655172413793
"617" 23.1 "Sydney" 3.70632911392405
"618" 23.2 "Brisbane" 8.08602150537634
"619" 23.2 "Canberra" 2.375
"620" 23.2 "Melbourne" 4.17368421052632
"621" 23.2 "Perth" 3.53333333333333
"622" 23.2 "Sydney" 4.66860465116279
"623" 23.3 "Brisbane" 5.38666666666667
"624" 23.3 "Canberra" 0.113333333333333
"625" 23.3 "Melbourne" 8.56363636363636
"626" 23.3 "Perth" 4.02727272727273
"627" 23.3 "Sydney" 6.38974358974359
"628" 23.4 "Brisbane" 3.58985507246377
"629" 23.4 "Canberra" 0.688888888888889
"630" 23.4 "Melbourne" 3.7
"631" 23.4 "Perth" 3.68928571428571
"632" 23.4 "Sydney" 6.23673469387755
"633" 23.5 "Brisbane" 2.78965517241379
"634" 23.5 "Canberra" 2.56363636363636
"635" 23.5 "Melbourne" 5.5875
"636" 23.5 "Perth" 4.00454545454545
"637" 23.5 "Sydney" 7.27636363636364
"638" 23.6 "Brisbane" 6.828125
"639" 23.6 "Canberra" 2.6
"640" 23.6 "Melbourne" 3.575
"641" 23.6 "Perth" 8.65333333333333
"642" 23.6 "Sydney" 5.45675675675676
"643" 23.7 "Brisbane" 6.20724637681159
"644" 23.7 "Canberra" 3.83157894736842
"645" 23.7 "Melbourne" 6.41
"646" 23.7 "Perth" 9.42941176470588
"647" 23.7 "Sydney" 7.12876712328767
