"min_temperature" "city_name" "mean"
"418" 8.4 "Canberra" 0.123076923076923
"419" 8.4 "Melbourne" 5.78444444444444
"420" 8.4 "Perth" 5.27241379310345
"421" 8.4 "Sydney" 3.42564102564103
"422" 8.5 "Brisbane" 1.53571428571429
"423" 8.5 "Canberra" 1.73846153846154
"424" 8.5 "Melbourne" 4.17692307692308
"425" 8.5 "Perth" 7.03888888888889
"426" 8.5 "Sydney" 5.85576923076923
"427" 8.6 "Brisbane" 0.971428571428572
"428" 8.6 "Canberra" 1.15555555555556
"429" 8.6 "Melbourne" 5.03432835820896
"430" 8.6 "Perth" 6.32888888888889
"431" 8.6 "Sydney" 4.85416666666667
"432" 8.7 "Brisbane" 0.136
"433" 8.7 "Canberra" 0.276923076923077
"434" 8.7 "Melbourne" 4.41285714285714
"435" 8.7 "Perth" 5.51891891891892
"436" 8.7 "Sydney" 7.82222222222222
"437" 8.8 "Brisbane" 1.14736842105263
"438" 8.8 "Canberra" 5.58
"439" 8.8 "Melbourne" 3.40847457627119
"440" 8.8 "Perth" 8.9140350877193
"441" 8.8 "Sydney" 6.35263157894737
"442" 8.9 "Brisbane" 0.85
"443" 8.9 "Canberra" 4.49473684210526
"444" 8.9 "Melbourne" 3.53870967741935
"445" 8.9 "Perth" 6.59814814814815
"446" 8.9 "Sydney" 6.725
"447" 9 "Brisbane" 0.975
"448" 9 "Canberra" 5.24444444444444
"449" 9 "Melbourne" 4
"450" 9 "Perth" 7.103125
"451" 9 "Sydney" 6.35777777777778
"452" 9.1 "Brisbane" 0.7875
"453" 9.1 "Canberra" 4.4875
"454" 9.1 "Melbourne" 3.93913043478261
"455" 9.1 "Perth" 6.96811594202899
"456" 9.1 "Sydney" 3.22564102564103
"457" 9.2 "Brisbane" 3.94347826086957
"458" 9.2 "Canberra" 0.846153846153846
"459" 9.2 "Melbourne" 4.99583333333333
"460" 9.2 "Perth" 5.445
"461" 9.2 "Sydney" 5.18723404255319
"462" 9.3 "Brisbane" 2.63636363636364
"463" 9.3 "Canberra" 0.854545454545455
"464" 9.3 "Melbourne" 3.63571428571429
"465" 9.3 "Perth" 6.86415094339623
"466" 9.3 "Sydney" 3.62272727272727
"467" 9.4 "Brisbane" 0.814814814814815
"468" 9.4 "Canberra" 4.6
"469" 9.4 "Melbourne" 2.94615384615385
"470" 9.4 "Perth" 5.2016393442623
"471" 9.4 "Sydney" 6.9188679245283
"472" 9.5 "Brisbane" 1.31724137931034
"473" 9.5 "Canberra" 4
"474" 9.5 "Melbourne" 4.57368421052632
"475" 9.5 "Perth" 7.968
"476" 9.5 "Sydney" 2.94146341463415
"477" 9.6 "Brisbane" 0.3
"478" 9.6 "Canberra" 2.24
"479" 9.6 "Melbourne" 3.46323529411765
"480" 9.6 "Perth" 7.7
"481" 9.6 "Sydney" 8.21346153846154
"482" 9.7 "Brisbane" 0.482758620689655
"483" 9.7 "Canberra" 1.10588235294118
"484" 9.7 "Melbourne" 4.66481481481481
"485" 9.7 "Perth" 5.12444444444444
"486" 9.7 "Sydney" 7.57647058823529
"487" 9.8 "Brisbane" 3.68
"488" 9.8 "Canberra" 0.833333333333333
"489" 9.8 "Melbourne" 3.55714285714286
"490" 9.8 "Perth" 6.3
"491" 9.8 "Sydney" 4.47894736842105
"492" 9.9 "Brisbane" 2.20740740740741
"493" 9.9 "Canberra" 0
"494" 9.9 "Melbourne" 3.0537037037037
"495" 9.9 "Perth" 5.98775510204082
"496" 9.9 "Sydney" 8.85588235294118
"497" 10 "Brisbane" 0.752631578947368
"498" 10 "Canberra" 3.28888888888889
